,city_development_index,training_hours,eduLevel,exp,lastNewJob,fromSTEM,enrollType,relExp,gender_Female,gender_Male,gender_Other,city_labels
0,0.92,0.1044776119402985,0.5,1.0,0.16666666666666666,1,0,1,0,1,0,5
1,0.7759999999999999,0.1373134328358209,0.5,0.6,1.0,1,0,0,0,1,0,77
2,0.624,0.24477611940298508,0.5,0.2,0.0,1,2,0,0,1,0,64
3,0.789,0.15223880597014924,0.5,0.0,0.0,0,0,0,0,1,0,14
4,0.767,0.020895522388059702,0.75,1.0,0.6666666666666666,1,0,1,0,1,0,50
5,0.764,0.06865671641791045,0.5,0.44,0.16666666666666666,1,1,1,0,1,0,57
6,0.92,0.06865671641791045,0.25,0.2,0.16666666666666666,1,0,1,0,1,0,49
7,0.762,0.050746268656716415,0.5,0.52,1.0,1,0,1,0,1,0,83
8,0.92,0.13432835820895522,0.5,0.28,0.16666666666666666,1,0,1,0,1,0,5
9,0.92,0.3641791044776119,0.5,0.68,1.0,1,0,1,0,1,0,5
10,0.624,0.09253731343283582,0.25,0.08,0.0,1,2,0,0,1,0,64
11,0.92,0.3194029850746269,0.5,0.2,0.16666666666666666,1,0,1,0,1,0,5
12,0.913,0.06567164179104477,0.5,1.0,0.5,1,0,1,0,1,0,91
13,0.624,0.06865671641791045,0.5,0.08,0.0,1,0,0,0,1,0,64
14,0.624,0.07462686567164178,0.25,0.2,0.0,1,2,0,0,1,0,64
15,0.926,0.050746268656716415,0.5,0.64,1.0,1,0,1,0,1,0,13
16,0.92,0.31343283582089554,0.5,0.04,0.0,1,0,1,0,1,0,5
17,0.624,0.01791044776119403,0.5,0.08,0.3333333333333333,1,0,1,0,1,0,64
18,0.624,0.06567164179104477,0.5,0.28,0.0,1,0,1,0,1,0,64
19,0.8270000000000001,0.39104477611940297,0.5,0.16,0.16666666666666666,0,0,1,1,0,0,26
20,0.843,0.2,0.75,0.44,0.16666666666666666,1,0,1,0,1,0,47
21,0.926,0.14626865671641792,0.75,0.44,0.3333333333333333,1,0,1,0,1,0,13
22,0.804,0.14029850746268657,0.75,0.4,0.16666666666666666,1,0,1,0,1,0,4
23,0.7759999999999999,0.191044776119403,0.5,0.0,0.16666666666666666,0,0,1,0,1,0,77
24,0.624,0.03582089552238806,0.5,0.2,0.16666666666666666,1,0,1,0,1,0,64
25,0.855,0.0626865671641791,0.25,0.16,0.0,1,0,0,0,1,0,95
26,0.624,0.4388059701492537,0.5,0.56,0.16666666666666666,1,1,1,0,1,0,64
27,0.92,0.21194029850746268,0.5,0.2,0.3333333333333333,0,0,1,0,1,0,5
28,0.887,0.020895522388059702,0.25,0.44,0.16666666666666666,1,0,1,0,1,0,2
29,0.624,0.2,0.5,0.72,0.3333333333333333,1,0,1,0,1,0,64
30,0.92,0.11641791044776119,0.5,1.0,0.5,1,0,1,0,1,0,5
31,0.92,0.417910447761194,0.5,0.76,1.0,1,1,1,0,1,0,5
32,0.92,0.06865671641791045,0.5,0.2,0.16666666666666666,1,2,0,1,0,0,5
33,0.92,0.2417910447761194,0.5,1.0,1.0,1,0,1,1,0,0,49
34,0.91,0.4298507462686567,0.5,0.48,0.5,0,0,1,0,1,0,48
35,0.92,0.6119402985074627,0.5,0.4,0.3333333333333333,1,0,1,0,1,0,5
36,0.926,0.4507462686567164,0.25,0.04,0.16666666666666666,1,1,0,0,1,0,13
37,0.926,0.12238805970149254,1.0,1.0,0.6666666666666666,1,0,1,0,1,0,13
38,0.92,0.14626865671641792,0.5,0.48,0.6666666666666666,1,0,0,0,1,0,5
39,0.884,0.31343283582089554,0.5,0.12,0.0,1,0,0,0,1,0,99
40,0.926,0.03880597014925373,0.75,0.64,0.3333333333333333,1,2,1,1,0,0,13
41,0.924,0.1044776119402985,0.25,0.16,0.3333333333333333,1,0,1,0,1,0,6
42,0.624,0.33134328358208953,0.75,0.24,0.16666666666666666,1,0,1,0,1,0,64
43,0.6659999999999999,0.3194029850746269,0.5,0.36,0.0,0,0,0,0,1,0,93
44,0.624,0.01791044776119403,0.75,0.36,0.5,1,1,1,0,1,0,64
45,0.624,0.07462686567164178,0.75,0.2,0.0,1,2,0,1,0,0,64
46,0.624,0.25671641791044775,0.5,0.2,0.0,1,0,1,0,1,0,64
47,0.92,0.15223880597014924,0.5,0.76,0.6666666666666666,1,0,1,0,0,1,5
48,0.5579999999999999,0.056716417910447764,0.5,0.6,1.0,0,0,1,0,1,0,3
49,0.923,0.05970149253731343,0.5,0.44,0.16666666666666666,1,0,1,0,1,0,112
50,0.5579999999999999,0.2716417910447761,0.5,0.16,0.16666666666666666,1,0,0,0,1,0,3
51,0.6659999999999999,0.30149253731343284,0.5,0.4,0.3333333333333333,1,0,1,0,1,0,93
52,0.794,0.07462686567164178,0.5,0.2,1.0,0,0,0,0,1,0,7
53,0.924,0.01791044776119403,0.75,0.12,0.3333333333333333,1,0,1,0,1,0,6
54,0.926,0.1253731343283582,0.25,0.16,0.16666666666666666,1,2,0,0,1,0,13
55,0.924,0.13134328358208955,0.5,1.0,0.16666666666666666,1,0,1,0,1,0,6
56,0.754,0.15223880597014924,0.5,0.08,0.3333333333333333,1,2,1,0,1,0,101
57,0.92,0.05373134328358209,0.5,1.0,0.3333333333333333,1,0,1,0,1,0,5
58,0.624,0.09253731343283582,0.5,0.08,0.16666666666666666,1,2,1,0,1,0,64
59,0.767,0.07462686567164178,0.5,1.0,1.0,0,0,1,0,1,0,50
60,0.855,0.2656716417910448,0.5,0.24,0.16666666666666666,1,1,1,0,1,0,95
61,0.939,0.07164179104477612,0.5,0.24,0.5,1,0,1,0,1,0,103
62,0.8270000000000001,0.041791044776119404,0.75,0.52,0.16666666666666666,1,0,1,0,1,0,78
63,0.887,0.14029850746268657,0.75,1.0,1.0,0,0,1,0,1,0,2
64,0.55,0.28955223880597014,0.25,0.12,0.16666666666666666,1,2,0,0,1,0,11
65,0.865,0.4208955223880597,0.5,0.4,0.3333333333333333,1,0,1,0,1,0,118
66,0.855,0.03582089552238806,0.75,0.16,0.6666666666666666,0,0,0,0,0,1,95
67,0.91,0.1373134328358209,0.5,0.6,1.0,1,0,1,0,1,0,48
68,0.91,0.08059701492537313,0.75,0.56,0.16666666666666666,0,0,1,1,0,0,48
69,0.698,0.6776119402985075,0.5,0.08,0.0,1,0,0,0,1,0,116
70,0.6659999999999999,0.0626865671641791,0.5,1.0,0.6666666666666666,1,0,1,0,1,0,93
71,0.624,0.050746268656716415,0.5,0.0,0.0,1,2,0,0,1,0,64
72,0.8270000000000001,0.08358208955223881,0.5,0.08,0.16666666666666666,1,0,1,0,1,0,26
73,0.855,0.13432835820895522,0.75,0.2,0.16666666666666666,1,0,1,0,1,0,95
74,0.55,0.03283582089552239,0.5,0.0,0.0,1,2,0,0,1,0,11
75,0.92,0.04776119402985075,0.5,0.2,0.3333333333333333,1,0,1,0,1,0,5
76,0.893,0.191044776119403,0.75,0.2,0.3333333333333333,1,0,1,0,1,0,74
77,0.92,0.10149253731343283,0.5,0.12,0.16666666666666666,0,0,0,0,1,0,5
78,0.855,0.03880597014925373,0.5,0.36,0.5,1,2,0,0,1,0,95
79,0.92,0.008955223880597015,0.75,0.08,0.16666666666666666,1,0,1,1,0,0,5
80,0.92,0.03283582089552239,0.5,0.6,1.0,1,0,1,0,1,0,5
81,0.92,0.3194029850746269,0.5,1.0,0.3333333333333333,1,0,1,0,1,0,49
82,0.92,0.40298507462686567,0.5,1.0,0.16666666666666666,1,0,0,0,1,0,5
83,0.92,0.07761194029850746,0.5,0.2,0.16666666666666666,1,0,1,0,1,0,5
84,0.7959999999999999,0.21791044776119403,0.75,0.16,0.16666666666666666,1,1,1,0,1,0,63
85,0.884,0.2537313432835821,0.5,0.6,0.16666666666666666,1,0,1,0,1,0,99
86,0.866,0.24477611940298508,0.5,0.0,0.3333333333333333,1,1,0,1,0,0,89
87,0.92,0.2208955223880597,0.25,0.16,0.5,1,2,0,0,1,0,5
88,0.698,0.12238805970149254,0.75,0.44,0.3333333333333333,1,2,0,0,1,0,43
89,0.92,0.9880597014925373,0.5,0.24,0.16666666666666666,1,0,1,1,0,0,5
90,0.913,0.41492537313432837,0.5,0.16,0.16666666666666666,1,2,0,0,1,0,91
91,0.91,0.5402985074626866,0.25,0.12,0.0,1,0,0,0,1,0,48
92,0.92,0.03582089552238806,0.5,0.12,0.16666666666666666,0,0,0,1,0,0,5
93,0.682,0.5104477611940299,0.5,0.2,0.3333333333333333,1,0,1,0,1,0,61
94,0.92,0.14029850746268657,0.5,0.4,0.16666666666666666,1,0,1,0,1,0,5
95,0.802,0.0955223880597015,0.5,0.36,0.16666666666666666,1,2,1,0,1,0,94
96,0.92,0.4208955223880597,0.25,0.08,0.16666666666666666,1,2,0,0,1,0,49
97,0.579,0.09850746268656717,0.5,0.08,0.16666666666666666,1,2,0,0,1,0,102
98,0.802,0.03880597014925373,0.5,0.24,0.3333333333333333,1,0,1,0,1,0,94
99,0.55,0.07761194029850746,0.5,0.24,0.3333333333333333,1,0,1,0,1,0,11
100,0.55,0.06865671641791045,0.5,0.32,0.16666666666666666,1,0,1,0,1,0,11
101,0.878,0.44477611940298506,0.75,1.0,0.16666666666666666,1,0,0,0,1,0,55
102,0.92,0.056716417910447764,0.5,0.44,1.0,1,0,1,1,0,0,5
103,0.92,0.41492537313432837,0.5,0.2,0.16666666666666666,1,0,1,0,1,0,5
104,0.91,0.15223880597014924,0.5,0.48,0.16666666666666666,1,0,1,0,1,0,48
105,0.939,0.4746268656716418,0.5,1.0,0.3333333333333333,1,0,1,0,1,0,103
106,0.897,0.005970149253731343,0.75,0.36,0.3333333333333333,1,0,1,0,1,0,30
107,0.624,0.0029850746268656717,0.5,0.08,0.3333333333333333,1,0,1,0,1,0,64
108,0.91,0.08059701492537313,0.5,1.0,1.0,1,0,1,0,1,0,48
109,0.754,0.13432835820895522,0.5,1.0,0.6666666666666666,0,0,1,0,1,0,101
110,0.855,0.6238805970149254,0.5,0.32,0.16666666666666666,1,0,1,0,1,0,95
111,0.926,0.1044776119402985,0.5,0.4,0.16666666666666666,1,0,1,0,1,0,13
112,0.949,0.4746268656716418,0.5,0.16,0.16666666666666666,1,2,0,0,1,0,121
